id,genus,epithet,synonym,synonym_details.genus,synonym_details.epithet,registrant_name,originator_name,date_of_registration,seed_parent.genus,seed_parent.epithet,pollen_parent.genus,pollen_parent.epithet
140472,Vandaenopsis,Kissiable,false,Vandoritis,,June Fowler,J.Vande Weghe,2004/08/17,Phalaenopsis,pulcherrima,,
140473,Vandaenopsis,Hot Lip,false,Hagerara,,June Fowler,J.Vande Weghe,2004/08/17,Phalaenopsis,Memoria Clarence Schubert,,

# Phalaenopsis Rain Dancer
140328,Phalaenopsis,Sunlands Sarah's Raindancer,false,,,G.J.McKay,S.Heyden,2004/08/09,Phalaenopsis,Memoria Sarah Robertson,,

# Oncidium Malvin
139614,Trichocidium,Yeok Pin Chua,false,Oncidium,,Chua Swee Cheng,Shimamoto,2004/07/01,,,Trichocentrum,splendidum

# Dendrobium Napoli
137118,Dendrobium,Liebe Natsuki,false,,,S.Osuga,S.Osuga,2004/04/01,Dendrobium,Yukidaruma,,

# Dendrobium Moony Eyes
137116,Dendrobium,Meine Frau Junko,false,,,S.Osuga,S.Osuga,2004/04/01,,,Dendrobium,Yukidaruma

# Phalaenopsis Laura Galvez
135037,Phalaenopsis,Etherege Joy,false,,,B.Main,W.Livingston,2003/12/03,Phalaenopsis,Etherege Mist,,

# Vanda Lor Sor
135033,Vanda,Adkins Gold Cup,false,Ascocenda,,Adkins Orch.,,2003/12/03,,,Vanda,Bangkhuntian Gold

# Phalaenopsis Golden Valley
135038,Phalaenopsis,Pamela's Sunset,false,,,W.Welter Jr.,W.Welter Jr.,2003/12/03,,,Phalaenopsis,Midnight Dream

# Phalaenopsis Fire Music
107298,Phalaenopsis,Little Fireball,false,,,C.Fighetti,C.Fighetti,1997/01/14,,,Phalaenopsis,equestris

# Paphiopedilum N*****
7299,Paphiopedilum,Golden Hill,false,,,Cooke,Cooke,1940/01/01,,,Paphiopedilum,Thias

# Oncidium Sambo
11560,Oncidium,Samada,false,Odontioda,,McBean's,McBean's,1934/01/01,Oncidium,Nada,,
11637,Oncidium,Venetia,false,Odontioda,,McBean's,McBean's,1933/01/01,Oncidium,Niobe (1916),,
11967,Oncidium,Crisambo,false,Odontoglossum,,McBean's,McBean's,1926/01/01,Oncidium,Crispo-Solon,,
12100,Oncidium,Epsilon,false,Odontoglossum,,McBean's,McBean's,1924/01/01,Oncidium,Ardentissimum,,
12528,Oncidium,Omar,false,Odontoglossum,,McBean's,McBean's,1932/01/01,Oncidium,Princess Mary I,,
12811,Oncidium,Thule,false,Odontoglossum,,McBean's,McBean's,1931/01/01,Oncidium,Eximillus,,

# The following have a parent that's not in the RHS database but is a species in POWO
# Clowesia thylaciochila
1065585,Clowesia,Mark Margolis,false,,,M.Margolis,F.Clarke,2024/07/22,,,Clowesia,russelliana

# Dendrobium whewellii
1065458,Dendrobium,Amphion Thallo,false,,,G.Dimos,G.Dimos,2024/07/09,,,Dendrobium,erythraeum
1050853,Dendrobium,Tony Clarke,false,Dockrillia,,R.J.Bennett,C.W.Fitzsimmons,2022/07/23,Dendrobium,Tweetas,,

# Aerangis macrocentra
1059799,Aerangis,NK Fairy Tale,false,,,N. Kanazawa,N. Kanazawa,2023/10/12,Aerangis,mystacidii,,

# Brassia arachnoidea
1059714,Bratonia,Alessandra Malafaya,false,,,F.Deusvando,F.Deusvando,2023/10/09,Miltonia,flavescens,,
977615,Bratonia,bahiensis,false,,,,,,Miltonia,flavescens,,

# Dendrobium uniflorum
1058205,Dendrobium,Nicha Snowflakes,false,,,Nicha Orchid,Nicha Orchid,2023/07/17,,,Dendrobium,dearei

# Stanhopea shuttleworthii
1057826,Stanhopea,Shuttleden,false,,,E. Faria,E. Faria,2023/06/28,,,Stanhopea,Assidensis
1054077,Stanhopea,Alex Portilla,false,,,Ecuagenera,Ecuagenera,2023/02/02,Stanhopea,tigrina,,
1044691,Stanhopea,Herois Do Mar,false,,,E. Faria,E. Faria,2021/08/01,,,Stanhopea,ruckeri
924567,Stanhopea,Moorlands Dream,false,,,R.J.Hartley,R.J.Hartley,2010/01/15,,,Stanhopea,insignis

# Phalaenopsis malipoensis
981404,Phalaenopsis,Sacha,false,,,K.Herve,K.Herve,2015/03/23,Phalaenopsis,parishii,,
1057453,Phalaenopsis,Dianpo,false,,,Yuxuan Jin,Zhilin,2023/06/08,Phalaenopsis,stobartiana,,
1055405,Phalaenopsis,Averyam's Tin Wedding,false,,,Avery Chan,Avery Chan,2023/05/25,,,Phalaenopsis,lobbii
1044322,Phalaenopsis,Micaels Malibu,false,,,M.Liu,M.Liu,2021/07/04,Phalaenopsis,Yaphon Gem,,
1030826,Phalaenopsis,Grassau,false,,,O.Gruss,,2019/10/12,Phalaenopsis,wilsonii,,
1020086,Phalaenopsis,Belle D'Eclipse,false,,,A.Brochart,A.Brochart,2019/02/02,,,Phalaenopsis,lowii
997903,Phalaenopsis,Alba Men Dream,false,,,Alba Men,Alba Men,2016/10/20,Phalaenopsis,gibbosa,,
997682,Phalaenopsis,Heike,false,,,I.Ziems,I.Ziems,2016/10/10,,,Phalaenopsis,maculata

# Vanda perplexa
993744,Vanda,Philippe Christophe,false,,,Motes,Motes,2016/05/05,Vanda,liouvillei,,
1027511,Vanda,Motes Semaphore,false,,,Motes,Motes,2019/07/04,,,Vanda,flabellata
1009904,Vanda,Crystelle Smith,false,,,Motes,Motes,2018/02/07,Vanda,insignis,,
135831,Vanda,× boumaniae,false,,,This is a natural hybrid,This is a natural hybrid,,Vanda,insignis,,

# Coryanthes trifoliata
1051148,Coryanthes,Micaels Panker,false,,,M.Liu,M.Liu,2022/08/11,,,Coryanthes,verrucolineata

# Phragmipedium christiansenianum
1051002,Phragmipedium,Elfin's Pearl,false,,,J-P.Faust,J-P.Faust,2022/07/31,,,Phragmipedium,schlimii

# Bulbophyllum fletcherianum
1049282,Bulbophyllum,Kala Bhairava,false,,,W.Tjiasmanto,Ken Hashimoto,2022/05/15,,,Bulbophyllum,agastor
